"mean","sd","2.5%","25%","50%","75%","97.5%","method","row_names"
0.953769321239007,0.276442384400296,0.403870520673692,0.77910666449437,0.953399324027816,1.12898947402807,1.50322227338277,"cov","d[2]"
1.47070250139954,0.320567159899375,0.841052606821971,1.26733166667986,1.46711954610664,1.6707595555272,2.11834666203816,"cov","d[3]"
1.16981308398564,0.277272694986312,0.628388855518228,0.988867041970706,1.16664499905525,1.34851134767997,1.72270133753703,"prior003","d[2]"
1.61831946705176,0.275132563135083,1.07766768162439,1.44267653375101,1.61696428990347,1.79273763485404,2.16851056159549,"prior003","d[3]"
0.937536820859519,0.282863267347692,0.380888497763265,0.757658937626187,0.93570818580854,1.1156396368596,1.50716425541142,"prior0307","d[2]"
1.48993704100399,0.326294573077276,0.846996472537377,1.28269007839698,1.48719182553472,1.69618994705376,2.14564666718141,"prior0307","d[3]"
0.811528191615813,0.277918620418213,0.25306059848466,0.636984884196183,0.813760120192166,0.989180375634667,1.35826537180623,"prior071","d[2]"
1.39103904007101,0.350561171912584,0.689624560211944,1.17084538132559,1.38994461408872,1.61088366494202,2.09304637804124,"prior071","d[3]"
1.97723364400298,0.653102940574397,0.595903277385071,1.5790305631647,2.00378406097922,2.40507362727213,3.1939122544184,"regression","beta[2]"
2.38456569590324,1.19658782400622,-0.00931324803490742,1.65489230657147,2.3552522440876,3.10703398249359,4.8499447017812,"regression","beta[3]"
0.928541485256596,0.196283774981345,0.524961899765749,0.808892904787789,0.932583329856632,1.0514438070264,1.31005399617017,"regression","d[2]"
1.15814464500756,0.285628086290698,0.61052588150613,0.977500909357001,1.14829757531038,1.33021377823963,1.75484740793446,"regression","d[3]"
